Tipo,Objetivo Estratégico,AÇÕES ESTRATÉGICAS,Sub-atividade,RESPONSÁVEL,AGU/PGF,DPF,FN,IBAMA,ICMBio,INPE,MCT,MJ,MMA,SIPAM,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2009,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2010,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2011,AUTORIZADO,EMPENHADO,LIQUIDADO
Ação Estratégica,2.2 - Montagem de Bases Móveis para o Combate ao Desmatamento Ilegal,2.2 – MONTAGEM DE BASES MÓVEIS PARA O COMBATE AO DESMATAMENTO ILEGAL,,"DPF, IBAMA",#VALUE!,1,#VALUE!,6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1353 - MODERNIZAÇÃO DA POLÍCIA FEDERAL,8600 - MANUTENÇÃO E ATUALIZAÇÃO DO PROJETO PROMOTEC/PRÓ-AMAZÔNIA,"R$ 1,271,415.00","R$ 1,179,444.00","R$ 1,179,444.00",1353 - MODERNIZAÇÃO DA POLÍCIA FEDERAL,8600 - MANUTENÇÃO E ATUALIZAÇÃO DO PROJETO PROMOTEC/PRÓ-AMAZÔNIA,"R$ 2,100,000.00","R$ 2,097,601.00","R$ 2,097,601.00",1353 - MODERNIZAÇÃO DA POLÍCIA FEDERAL,8600 - MANUTENÇÃO E ATUALIZAÇÃO DO PROJETO PROMOTEC/PRÓ-AMAZÔNIA,"R$ 1,400,000.00","R$ 1,317,585.00","R$ 1,317,585.00"
Ação Estratégica,2.2 - Montagem de Bases Móveis para o Combate ao Desmatamento Ilegal,2.2.1 Montagem e implementação de Bases Operacionais da Polícia Federal em áreas críticas de desmatamento (Delegacias móveis),,"DPF, IBAMA",#VALUE!,1,#VALUE!,6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1353 - MODERNIZAÇÃO DA POLÍCIA FEDERAL,3832 - INTEGRAÇÃO DOS SISTEMAS DA POLÍCIA FEDERAL COM OS SISTEMAS DE PROTEÇÃO E VIGILÂNCIA DA AMAZÔNIA - SIPAM/SIVAM (PROMOTEC/PRÓ-AMAZÔNIA),"R$ 19,800.00",R$ 0.00,R$ 0.00,1353 - MODERNIZAÇÃO DA POLÍCIA FEDERAL,,,,,1353 - MODERNIZAÇÃO DA POLÍCIA FEDERAL,,,,
Ação Estratégica,2.2 - Montagem de Bases Móveis para o Combate ao Desmatamento Ilegal,,,"DPF, IBAMA",#VALUE!,1,#VALUE!,6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1353 - MODERNIZAÇÃO DA POLÍCIA FEDERAL,1778 - IMPLANTAÇÃO DE SISTEMA DE INFORMÁTICA E TELECOMUNICAÇÕES DA POLÍCIA FEDERAL (PROMOTEC/PRÓ-AMAZÔNIA),"R$ 75,053,866.00","R$ 55,949,694.00","R$ 55,949,694.00",1353 - MODERNIZAÇÃO DA POLÍCIA FEDERAL,1778 - IMPLANTAÇÃO DE SISTEMA DE INFORMÁTICA E TELECOMUNICAÇÕES DA POLÍCIA FEDERAL (PROMOTEC/PRÓ-AMAZÔNIA),"R$ 58,926,619.00","R$ 41,290,215.00","R$ 41,290,215.00",1353 - MODERNIZAÇÃO DA POLÍCIA FEDERAL,,,,
Ação Estratégica,2.2 - Montagem de Bases Móveis para o Combate ao Desmatamento Ilegal,2.2.2 Montagem das bases móveis do IBAMA para fiscalização das infrações ambientais,,"DPF, IBAMA",#VALUE!,1,#VALUE!,6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,"2.3 - Criação e Implementação da Companhia de Operações Ambientais (Coa) da Força Nacional, Com 200 Policiais Militares para Pronto Emprego",2.3.1 Criação da Compahia de Operações Ambientais da Força Nacional - COA/FN,,FN/MJ,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,4,#VALUE!,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,2.4- Implantação de 7 Novos Portais para Monitoramento e Controle do Fluxo de Produtos Florestais,2.4.1 Implantação de novos Portais Rodoviários para monitoramento e controle do fluxo de produtos florestais,,DPF,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,2.5 - Criação e Implementação da Comissão Interministerial de Combate aos Crimes e Infrações Ambientais - CICCIA,2.5.1 Intensificação de Ações de Inteligência e Investigação das Infrações e Crimes Ambientais,,"DPF, SIPAM, IBAMA",#VALUE!,1,#VALUE!,13,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,6,,,,,,,,,,,,,,,
Ação Estratégica,2.5 - Criação e Implementação da Comissão Interministerial de Combate aos Crimes e Infrações Ambientais - CICCIA,"2.5.1.1 Criação de Núcleos Ambientais Estaduais com uma equipe de policiais Federais dedicados exclusivamente a identificação de ilícitos ambientais, municiando as operações permanentes de informação e alvos potenciais",,"DPF, SIPAM, IBAMA",#VALUE!,1,#VALUE!,13,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,6,0496 - INFORMAÇÕES INTEGRADAS PARA PROTEÇÃO DA AMAZÔNIA,6808 - MONITORAMENTO TERRITORIAL E AÇÕES DE INTELIGÊNCIA,"R$ 7,391,583.00","R$ 5,646,427.00","R$ 5,646,427.00",0496 - INFORMAÇÕES INTEGRADAS PARA PROTEÇÃO DA AMAZÔNIA,6808 - MONITORAMENTO TERRITORIAL E AÇÕES DE INTELIGÊNCIA,"R$ 2,000,000.00","R$ 1,605,344.00","R$ 1,605,344.00",0496 - INFORMAÇÕES INTEGRADAS PARA PROTEÇÃO DA AMAZÔNIA,6808 - MONITORAMENTO TERRITORIAL E AÇÕES DE INTELIGÊNCIA,"R$ 2,000,000.00","R$ 247,792.00","R$ 247,792.00"
Ação Estratégica,2.5 - Criação e Implementação da Comissão Interministerial de Combate aos Crimes e Infrações Ambientais - CICCIA,2.5.1.2 Ampliação do número de equipes em campo e de estados fiscalizados no âmbito da Operação Arco de Fogo,,"DPF, SIPAM, IBAMA",#VALUE!,1,#VALUE!,13,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,6,0496 - INFORMAÇÕES INTEGRADAS PARA PROTEÇÃO DA AMAZÔNIA,4322 - MANUTENÇÃO DO SISTEMA DE VIGILÂNCIA DA AMAZÔNIA - SIVAM,"R$ 2,800,000.00","R$ 2,799,908.00","R$ 2,799,908.00",0496 - INFORMAÇÕES INTEGRADAS PARA PROTEÇÃO DA AMAZÔNIA,4322 - MANUTENÇÃO DO SISTEMA DE VIGILÂNCIA DA AMAZÔNIA - SIVAM,"R$ 1,744,185.00","R$ 1,744,184.00","R$ 1,744,184.00",0496 - INFORMAÇÕES INTEGRADAS PARA PROTEÇÃO DA AMAZÔNIA,4322 - MANUTENÇÃO DO SISTEMA DE VIGILÂNCIA DA AMAZÔNIA - SIVAM,"R$ 2,800,000.00","R$ 1,820,000.00","R$ 1,820,000.00"
Ação Estratégica,2.5 - Criação e Implementação da Comissão Interministerial de Combate aos Crimes e Infrações Ambientais - CICCIA,2.5.1.3 Fornecimento de apoio ao planejamento e controle de missões de fiscalização de campo e missões de inteligência.,,"DPF, SIPAM, IBAMA",#VALUE!,1,#VALUE!,13,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,6,0496 - INFORMAÇÕES INTEGRADAS PARA PROTEÇÃO DA AMAZÔNIA,8110 - SENSORIAMENTO REMOTO,"R$ 337,550.00","R$ 159,293.00","R$ 159,293.00",0496 - INFORMAÇÕES INTEGRADAS PARA PROTEÇÃO DA AMAZÔNIA,8110 - SENSORIAMENTO REMOTO,"R$ 1,812,571.00","R$ 1,529,936.00","R$ 1,529,936.00",0496 - INFORMAÇÕES INTEGRADAS PARA PROTEÇÃO DA AMAZÔNIA,8110 - SENSORIAMENTO REMOTO,"R$ 16,550,000.00","R$ 13,571,354.00","R$ 13,571,354.00"
Ação Estratégica,2.5 - Criação e Implementação da Comissão Interministerial de Combate aos Crimes e Infrações Ambientais - CICCIA,2.5.1.4 Auditoria nos Sistemas de Digitais de Controle de produtos florestais (DOF e GF),,"DPF, SIPAM, IBAMA",#VALUE!,1,#VALUE!,13,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,6,,,,,,,,,,,,,,,
Ação Estratégica,2.5 - Criação e Implementação da Comissão Interministerial de Combate aos Crimes e Infrações Ambientais - CICCIA,2.5.1.5 Coordenação de ações de inteligência para rastreamento de cadeias comerciais de insumos que suportam o desmatamento,,"DPF, SIPAM, IBAMA",#VALUE!,1,#VALUE!,13,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,6,0496 - INFORMAÇÕES INTEGRADAS PARA PROTEÇÃO DA AMAZÔNIA,4091 - CAPACITAÇÃO DE RECURSOS HUMANOS,"R$ 500,000.00","R$ 349,054.00","R$ 349,054.00",0496 - INFORMAÇÕES INTEGRADAS PARA PROTEÇÃO DA AMAZÔNIA,4091 - CAPACITAÇÃO DE RECURSOS HUMANOS,"R$ 886,786.00","R$ 688,549.00","R$ 688,549.00",0496 - INFORMAÇÕES INTEGRADAS PARA PROTEÇÃO DA AMAZÔNIA,4091 - CAPACITAÇÃO DE RECURSOS HUMANOS,"R$ 820,000.00","R$ 59,192.00","R$ 59,192.00"
Ação Estratégica,2.5 - Criação e Implementação da Comissão Interministerial de Combate aos Crimes e Infrações Ambientais - CICCIA,"2.5.1.6 Coordenação de ações de investigação para rastreamento das cadeias produtivas de madeira/móveis, carvão/siderurgia, grãos e gado",,"DPF, SIPAM, IBAMA",#VALUE!,1,#VALUE!,13,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,6,,,,,,,,,,,,,,,
Ação Estratégica,2.5 - Criação e Implementação da Comissão Interministerial de Combate aos Crimes e Infrações Ambientais - CICCIA,2.5.1.7 Capacitação das Unidades Militares na Amazônia para identificação de infrações ambientais – CMA.,,"DPF, SIPAM, IBAMA",#VALUE!,1,#VALUE!,13,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,6,,,,,,,,,,,,,,,
Ação Estratégica,2.6 - Intensificação Das Operações Integradas de Fiscalização do Desmatamento e Demais Ilícitos Associados,"2.6.1 Intensificação das operações integradas de inteligência, investigação e fiscalização do desmatamento ilegal",,IBAMA,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"0503 - PREVENÇÃO E COMBATE AO DESMATAMENTO, QUEIMADAS E INCÊNDIOS FLORESTAIS - FLORESCER",6307 - FISCALIZAÇÃO DE ATIVIDADES DE DESMATAMENTO,"R$ 66,160,826.00","R$ 42,021,089.00","R$ 42,021,089.00","0503 - PREVENÇÃO E COMBATE AO DESMATAMENTO, QUEIMADAS E INCÊNDIOS FLORESTAIS - FLORESCER",6307 - FISCALIZAÇÃO DE ATIVIDADES DE DESMATAMENTO,"R$ 42,900,000.00","R$ 42,490,463.00","R$ 42,490,463.00","0503 - PREVENÇÃO E COMBATE AO DESMATAMENTO, QUEIMADAS E INCÊNDIOS FLORESTAIS - FLORESCER",6307 - FISCALIZAÇÃO DE ATIVIDADES DE DESMATAMENTO,"R$ 56,412,461.00","R$ 45,975,695.00","R$ 45,975,695.00"
