OBJETIVO ESTRATÉGICO,AÇÕES ESTRATÉGICAS,COORDENAÇÃO,FUNAI,INCRA,MC,MCT,MDA,MI,MJ,MMA,FONTE DE RECURSO,PROGRAMA NO PPA 2004-2007,AÇÃO NA LOA 2007,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2008,AUTORIZADO,EMPENHADO,LIQUIDADO
1.2 Regularização fundiária,1.2.2 Regularização de posses de até 100 há,MDA / INCRA,#VALUE!,7,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,INCRA/OGU,0138 - REGULARIZACAO E GERENCIAMENTO DA ESTRUTURA FUNDIARIA ,0574 - APOIO AOS ESTADOS PARA IMPLANTAÇÃO DO CADASTRO DE TERRAS E REGULARIZAÇÃO FUNDIÁRIA NO BRASIL,"R$ 14,801,642.00","R$ 6,466,050.00","R$ 6,466,050.00",0138 - REGULARIZACAO E GERENCIAMENTO DA ESTRUTURA FUNDIARIA ,8378 - AÇÕES PREPARATÓRIAS PARA DESTINAÇÃO DE TERRAS PÚBLICAS,"R$ 6,000,000.00","R$ 5,871,876.00","R$ 5,867,726.00"
1.2 Regularização fundiária,1.2.3 Georeferenciamento e regularização fundiária de áreas não cadastradas,MDA / INCRA,#VALUE!,7,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,INCRA/OGU,,2114 - SISTEMA DE CADASTRO RURAL,"R$ 10,210,000.00","R$ 6,225,011.00","R$ 6,225,011.00",,2114 - SISTEMA DE CADASTRO RURAL,"R$ 7,645,000.00","R$ 6,250,000.00","R$ 6,250,000.00"
1.2 Regularização fundiária,1.2.4 Atualização do Sistema Nacional de Cadastro Rural Georeferenciado,MDA / INCRA,#VALUE!,7,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,INCRA/OGU,,2110 - REGULARIZAÇÃO FUNDIÁRIA DE IMÓVEIS RURAIS,"R$ 14,000,000.00","R$ 13,682,730.00","R$ 13,682,720.00",,2110 - REGULARIZAÇÃO FUNDIÁRIA DE IMÓVEIS RURAIS,"R$ 28,008,759.00","R$ 11,926,616.00","R$ 11,913,621.00"
1.2 Regularização fundiária,1.2.5 Elaboração de PL de regulamentação do inciso II do artigo 20 da Constituição Federal,MDA / INCRA,#VALUE!,7,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,INCRA/OGU,,,,,,,8380 - RETOMADA DE TERRAS PÚBLICAS,"R$ 4,860,000.00","R$ 52,711.00","R$ 52,711.00"
1.2 Regularização fundiária,1.2.6 Elaboração de PL de criminalização de desmatamento em terras públicas,MDA / INCRA,#VALUE!,7,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,INCRA/OGU,,,,,,,8418 - CAPACITAÇÃO DOS BENEFICIÁRIOS DA REGULARIZAÇÃO FUNDIÁRIA,"R$ 300,000.00","R$ 300,000.00","R$ 300,000.00"
1.3 Demarcação e homologação de terras indígenas,,MJ / FUNAI,6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,"Ações 7494, 2235, 4276 e 4390 - OGU/FUNAI","0151 - PROTECAO DE TERRAS INDIGENAS, GESTAO TERRITORIAL E
ETNODESENVOLVIMENTO",7494 - REGULARIZAÇÃO E PROTEÇÃO DE TERRAS INDÍGENAS NA AMAZÔNIA LEGAL - PPTAL,"R$ 7,140,000.00","R$ 6,423,865.00","R$ 6,422,365.00","0151 - PROTECAO DE TERRAS INDIGENAS, GESTAO TERRITORIAL E
ETNODESENVOLVIMENTO",,,,
1.3 Demarcação e homologação de terras indígenas,,MJ / FUNAI,6,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,"Ações 7494, 2235, 4276 e 4390 - OGU/FUNAI","0151 - PROTECAO DE TERRAS INDIGENAS, GESTAO TERRITORIAL E
ETNODESENVOLVIMENTO",4390 - DEMARCAÇÃO E REGULARIZAÇÃO DE TERRAS INDÍGENAS,"R$ 19,182,000.00","R$ 19,148,000.00","R$ 19,143,724.00","0151 - PROTECAO DE TERRAS INDIGENAS, GESTAO TERRITORIAL E
ETNODESENVOLVIMENTO",4390 - DEMARCAÇÃO E REGULARIZAÇÃO DE TERRAS INDÍGENAS,"R$ 30,456,949.00","R$ 13,499,418.00","R$ 13,499,418.00"
1.3 Demarcação e homologação de terras indígenas,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,6914 - LOCALIZAÇÃO E PROTEÇÃO ETNOAMBIENTAL DE ÍNDIOS ISOLADOS E DE RECENTE CONTATO,"R$ 1,450,000.00","R$ 1,226,275.00","R$ 1,226,275.00",,6914 - LOCALIZAÇÃO E PROTEÇÃO DE POVOS INDÍGENAS ISOLADOS OU DE RECENTE CONTATO,"R$ 172,401.00","R$ 62,303.00","R$ 62,303.00"
1.4 Implementação da Política de Reforma Agrária para a Amazônia Legal,1.4.1 Recuperação e consolidação de projetos de assentamentos,"MDA, MMA",#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,6,INCRA/OGU,,,,,,,,,,
1.4 Implementação da Política de Reforma Agrária para a Amazônia Legal,1.4.2 Implementação de processos de assessoramento técnico e de capacitação permanente,"MDA, MMA",#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,6,,1020 - INTERIORIZACAO DO DESENVOLVIMENTO DA AMAZONIA OCIDENTAL,0502 - APOIO À DINAMIZAÇÃO DO SERVIÇO DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL NA AMAZÔNIA OCIDENTAL,"R$ 150,000.00","R$ 150,000.00","R$ 150,000.00",1020 - INTERIORIZACAO DO DESENVOLVIMENTO DA AMAZONIA OCIDENTAL,,,,
