Tipo,OBJETIVO ESTRATÉGICO,Ação Estratégica,RESPONSÁVEL,ICMBIO,MDA,INCRA,MJ,FUNAI,MMA,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2009,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2010,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2011,AUTORIZADO,EMPENHADO,LIQUIDADO
Ação Estratégica,1.2 - Regularização Fundiária de Posses Rurais na Amazônia Legal,1.2.3 Destinação para os ocupantes de terras públicas,MDA/INCRA,#VALUE!,1,5,#VALUE!,#VALUE!,#VALUE!,0138 - GERENCIAMENTO DA ESTRUTURA FUNDIÁRIA E DESTINAÇÃO DE TERRAS PÚBLICAS,8418 - CAPACITAÇÃO DOS BENEFICIÁRIOS DA REGULARIZAÇÃO FUNDIÁRIA,"R$ 300,000.00","R$ 297,642.00","R$ 297,642.00",0138 - GERENCIAMENTO DA ESTRUTURA FUNDIÁRIA E DESTINAÇÃO DE TERRAS PÚBLICAS,8418 - CAPACITAÇÃO DOS BENEFICIÁRIOS DA REGULARIZAÇÃO FUNDIÁRIA,"R$ 300,000.00","R$ 265,364.00","R$ 265,364.00",0138 - GERENCIAMENTO DA ESTRUTURA FUNDIÁRIA E DESTINAÇÃO DE TERRAS PÚBLICAS,8418 - CAPACITAÇÃO DOS BENEFICIÁRIOS DA REGULARIZAÇÃO FUNDIÁRIA,"R$ 700,000.00",R$ 0.00,R$ 0.00
Ação Estratégica,"1.3 - Criação de 6 milhões de hectares de Unidades de Conservação, sendo 3,5 milhões de hectares de uso sustentável e 2,5 milhões de hectares de proteção integral",,ICMBIO,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,8492 - APOIO À CRIAÇÃO E GESTÃO DE ÁREAS PROTEGIDAS,"R$ 42,091,804.00","R$ 5,630,091.00","R$ 5,630,091.00"
Ação Estratégica,"1.3 - Criação de 6 milhões de hectares de Unidades de Conservação, sendo 3,5 milhões de hectares de uso sustentável e 2,5 milhões de hectares de proteção integral","1.3.1 Criação de Unidades de Conservação de Uso Sustentável (3,5 milhões de ha)",ICMBIO,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1332 - CONSERVAÇÃO E RECUPERAÇÃO DOS BIOMAS BRASILEIROS,6381 - REGULARIZAÇÃO FUNDIÁRIA DAS UNIDADES DE CONSERVAÇÃO FEDERAIS,"R$ 1,483,792.00","R$ 218,305.00","R$ 218,305.00",1332 - CONSERVAÇÃO E RECUPERAÇÃO DOS BIOMAS BRASILEIROS,6381 - REGULARIZAÇÃO FUNDIÁRIA DAS UNIDADES DE CONSERVAÇÃO FEDERAIS,"R$ 153,383,792.00","R$ 50,949,794.00","R$ 50,949,794.00",1332 - CONSERVAÇÃO E RECUPERAÇÃO DOS BIOMAS BRASILEIROS,6381 - REGULARIZAÇÃO FUNDIÁRIA DAS UNIDADES DE CONSERVAÇÃO FEDERAIS,"R$ 105,600,000.00","R$ 52,091,533.00","R$ 52,091,533.00"
Ação Estratégica,"1.3 - Criação de 6 milhões de hectares de Unidades de Conservação, sendo 3,5 milhões de hectares de uso sustentável e 2,5 milhões de hectares de proteção integral","1.3.2 Criação de Unidade de Conservação de Proteção Integral (2,5 milhões de ha)",ICMBIO,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,2C93 - GESTÃO DE ÁREAS PROTEGIDAS NO ECOSSISTEMA AMAZÔNICO,"R$ 7,349,665.00","R$ 7,144,479.00","R$ 7,144,479.00",,2C93 - GESTÃO DE ÁREAS PROTEGIDAS NO ECOSSISTEMA AMAZÔNICO,"R$ 5,492,153.00","R$ 3,937,574.00","R$ 3,937,574.00",,2C93 - GESTÃO DE ÁREAS PROTEGIDAS NO ECOSSISTEMA AMAZÔNICO,R$ 0.00,R$ 0.00,R$ 0.00
Ação Estratégica,"1.3 - Criação de 6 milhões de hectares de Unidades de Conservação, sendo 3,5 milhões de hectares de uso sustentável e 2,5 milhões de hectares de proteção integral",,ICMBIO,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,101V - IMPLANTAÇÃO DE CORREDORES ECOLÓGICOS,"R$ 10,937,399.00","R$ 3,099,317.00","R$ 3,099,317.00",,101V - IMPLANTAÇÃO DE CORREDORES ECOLÓGICOS,"R$ 12,763,874.00","R$ 7,345,956.00","R$ 7,345,956.00",,101V - IMPLANTAÇÃO DE CORREDORES ECOLÓGICOS,"R$ 13,166,223.00","R$ 11,865,967.00","R$ 11,865,967.00"
Ação Estratégica,1.4 - Regularização Fundiária de Ucs na Área de Influência da Br 163 e no Arco Do Desmatamento,,ICMBIO,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,1.4 - Regularização Fundiária de Ucs na Área de Influência da Br 163 e no Arco Do Desmatamento,1.4.1 Regularização Fundiária de Unidades de Conservação Federais da Área de Influência da BR 163 e Arco do Desmatamento,ICMBIO,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,1.4 - Regularização Fundiária de Ucs na Área de Influência da Br 163 e no Arco Do Desmatamento,1.4.2 Consolidação de Limites de Unidades de Conservação na Área de Influência da BR 319,ICMBIO,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,1.5 - Demarcação e Homologação de 4 Milhões de Hectares de Terras Indígenas,1.5 – DEMARCAÇÃO E HOMOLOGAÇÃO DE 4 MILHÕES DE HECTARES DE TERRAS INDÍGENAS,MJ/Funai,#VALUE!,#VALUE!,#VALUE!,1,4,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,1.5 - Demarcação e Homologação de 4 Milhões de Hectares de Terras Indígenas,1.5.1 Demarcação e Homologação de Terras Indígenas,MJ/Funai,#VALUE!,#VALUE!,#VALUE!,1,4,#VALUE!,0150 - PROTEÇÃO E PROMOÇÃO DOS POVOS INDÍGENAS,4390 - DEMARCAÇÃO E REGULARIZAÇÃO DE TERRAS INDÍGENAS,"R$ 24,324,599.00","R$ 16,381,643.00","R$ 16,381,643.00",0150 - PROTEÇÃO E PROMOÇÃO DOS POVOS INDÍGENAS,4390 - DEMARCAÇÃO E REGULARIZAÇÃO DE TERRAS INDÍGENAS,"R$ 25,000,000.00","R$ 11,877,154.00","R$ 11,877,154.00",0150 - PROTEÇÃO E PROMOÇÃO DOS POVOS INDÍGENAS,4390 - DEMARCAÇÃO E REGULARIZAÇÃO DE TERRAS INDÍGENAS,"R$ 18,955,706.00","R$ 17,116,548.00","R$ 17,116,548.00"
Ações Complementares,1.1 - Macro Zoneamento da Amazônia Legal,1.1 Macro Zoneamento da Amazônia Legal (Ações Complementares),MJ/Funai,#VALUE!,#VALUE!,#VALUE!,1,4,#VALUE!,,,,,,,,,,,,,,,
Ações Complementares,1.1 - Macro Zoneamento da Amazônia Legal,1.1.1 Elaboração da Base Cartogáfica Digital Contínua da Amazônia Legal na escala de 1:100.000,MJ/Funai,#VALUE!,#VALUE!,#VALUE!,1,4,#VALUE!,0512 - ZONEAMENTO ECOLÓGICO-ECONÔMICO,1J30 - ELABORAÇÃO DA BASE CARTOGRÁFICA DIGITAL DA AMAZÔNIA LEGAL,"R$ 4,516,000.00","R$ 952,733.00","R$ 952,733.00",0512 - ZONEAMENTO ECOLÓGICO-ECONÔMICO,1J30 - ELABORAÇÃO DA BASE CARTOGRÁFICA DIGITAL DA AMAZÔNIA LEGAL,"R$ 400,000.00",R$ 0.00,R$ 0.00,0512 - ZONEAMENTO ECOLÓGICO-ECONÔMICO,1J30 - ELABORAÇÃO DA BASE CARTOGRÁFICA DIGITAL DA AMAZÔNIA LEGAL,R$ 0.00,R$ 0.00,R$ 0.00
Ações Complementares,1.1 - Macro Zoneamento da Amazônia Legal,1.1.2 Estabelecimento de Cooperação Técnica para elaboração e implementação de projetos de ZEE local,MJ/Funai,#VALUE!,#VALUE!,#VALUE!,1,4,#VALUE!,,,,,,,,,,,,,,,
Ações Complementares,1.1 - Macro Zoneamento da Amazônia Legal,1.2.3 Incorporação das diretrizes do Macro Zoneamento de uso e ocupação do território nos sistemas de planejamento público e privado,MJ/Funai,#VALUE!,#VALUE!,#VALUE!,1,4,#VALUE!,,,,,,,,,,,,,,,
Ações Complementares,1.2 - Demarcação de Florestas Públicas da União,1.2.1 Demarcação de Unidades de Manejo,MJ/Funai,#VALUE!,#VALUE!,#VALUE!,1,4,#VALUE!,0506 - NACIONAL DE FLORESTAS,10F1 - DEMARCAÇÃO DAS FLORESTAS PÚBLICAS DA UNIÃO NO DISTRITO FLORESTAL DA BR-163,"R$ 3,000,000.00","R$ 612,857.00","R$ 612,857.00",0506 - NACIONAL DE FLORESTAS,10F1 - DEMARCAÇÃO DAS FLORESTAS PÚBLICAS DA UNIÃO NO DISTRITO FLORESTAL DA BR-163,"R$ 450,000.00","R$ 380,910.00","R$ 380,910.00",0506 - NACIONAL DE FLORESTAS,10F1 - DEMARCAÇÃO DAS FLORESTAS PÚBLICAS DA UNIÃO NO DISTRITO FLORESTAL DA BR-163,"R$ 305,500.00","R$ 130,150.00","R$ 130,150.00"
Ações Complementares,1.2 - Demarcação de Florestas Públicas da União,1.2.2 Demarcação de áreas destinadas,MJ/Funai,#VALUE!,#VALUE!,#VALUE!,1,4,#VALUE!,,,,,,,,,,,,,,,
Ações Complementares,1.3 - Elaboração e Implementação de Agendas 21 Locais,,MJ/Funai,#VALUE!,#VALUE!,#VALUE!,1,4,#VALUE!,,4910 - FORMAÇÃO CONTINUADA EM AGENDA 21 LOCAL,"R$ 1,492,422.00","R$ 1,290,964.00","R$ 1,290,964.00",,4910 - FORMAÇÃO CONTINUADA EM AGENDA 21 LOCAL,"R$ 404,790.00","R$ 252,084.00","R$ 252,084.00",,4910 - FORMAÇÃO CONTINUADA EM AGENDA 21 LOCAL,"R$ 564,598.00","R$ 298,801.00","R$ 298,801.00"
Ações Complementares,1.3 - Elaboração e Implementação de Agendas 21 Locais,1.3.1 Elaboração de Agendas 21 Locais e de plano de intervenção em àreas alteradas,MJ/Funai,#VALUE!,#VALUE!,#VALUE!,1,4,#VALUE!,1102 - AGENDA 21,4913 - FOMENTO A PROJETOS DE AGENDAS 21 LOCAIS,"R$ 270,000.00",R$ 0.00,R$ 0.00,1102 - AGENDA 21,4913 - FOMENTO A PROJETOS DE AGENDAS 21 LOCAIS,"R$ 150,000.00",R$ 0.00,R$ 0.00,1102 - AGENDA 21,4913 - FOMENTO A PROJETOS DE AGENDAS 21 LOCAIS,R$ 0.00,R$ 0.00,R$ 0.00
Ações Complementares,1.3 - Elaboração e Implementação de Agendas 21 Locais,1.3.2 Capacitação em Agenda 21 Local e Plano de intervenção em Áreas Alteradas,MJ/Funai,#VALUE!,#VALUE!,#VALUE!,1,4,#VALUE!,,4921 - ELABORAÇÃO E IMPLEMENTAÇÃO DAS AGENDAS 21 LOCAIS,"R$ 4,754,584.00","R$ 401,170.00","R$ 401,170.00",,4921 - ELABORAÇÃO E IMPLEMENTAÇÃO DAS AGENDAS 21 LOCAIS,"R$ 425,291.00","R$ 321,995.00","R$ 321,995.00",,4921 - ELABORAÇÃO E IMPLEMENTAÇÃO DAS AGENDAS 21 LOCAIS,"R$ 60,541.00","R$ 60,541.00","R$ 60,541.00"
