OBJETIVO ESTRATÉGICO,AÇÃO ESTRATÉGICA,COORDENAÇÃO,MMA,MF,CC,MCT,MAPA,MDIC,MF,FONTE DE RECURSO,PROGRAMA NO PPA 2004-2007,AÇÃO NA LOA 2007,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2008,AUTORIZADO,EMPENHADO,LIQUIDADO
"3.13 Promover a intensificação do uso agroeconômico de áreas já desflorestadas, por meio de recuperação de pastagens, fomento a produção de culturas permanentes e a adoção universal de práticas de uso conservacionista do solo","3.13.6 Promover a capacitação em larga escala em técnicas de agropecuária sustentável, associativismo rural e cooperativismo",,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Orçamento da União – PPA,,,,,,,,,,
"3.13 Promover a intensificação do uso agroeconômico de áreas já desflorestadas, por meio de recuperação de pastagens, fomento a produção de culturas permanentes e a adoção universal de práticas de uso conservacionista do solo",3.13.7 Promover a expandir da produção de plantas medicinais,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Orçamento da União – PPA,,,,,,,,,,
"3.13 Promover a intensificação do uso agroeconômico de áreas já desflorestadas, por meio de recuperação de pastagens, fomento a produção de culturas permanentes e a adoção universal de práticas de uso conservacionista do solo",3.13.8 Estimular a disseminação da agricultura orgânica na região ,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Orçamento da União – PPA,1225 - DESENVOLVIMENTO DA AGRICULTURA ORGANICA - PRO-ORGANICO,"4718 - TRANSFERÊNCIA DE TECNOLOGIA PARA O
DESENVOLVIMENTO DA PRODUÇÃO ORGÂNICA DE ALIMENTOS","R$ 511,000.00","R$ 511,000.00","R$ 510,734.00",,,,,
"3.13 Promover a intensificação do uso agroeconômico de áreas já desflorestadas, por meio de recuperação de pastagens, fomento a produção de culturas permanentes e a adoção universal de práticas de uso conservacionista do solo",3.13.8 Estimular a disseminação da agricultura orgânica na região ,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,4720 - APLICAÇÃO DE MECANISMOS DE GARANTIA DA QUALIDADE ORGÂNICA,"R$ 600,000.00","R$ 386,574.00","R$ 386,574.00",1442 - DESENVOLVIMENTO SUSTENTÁVEL DO AGRONEGÓCIO,4720 - APLICAÇÃO DE MECANISMOS DE GARANTIA DA QUALIDADE ORGÂNICA,"R$ 1,700,000.00","R$ 1,118,550.00",
"3.13 Promover a intensificação do uso agroeconômico de áreas já desflorestadas, por meio de recuperação de pastagens, fomento a produção de culturas permanentes e a adoção universal de práticas de uso conservacionista do solo",3.13.8 Estimular a disseminação da agricultura orgânica na região ,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,4641 - PUBLICIDADE DE UTILIDADE PÚBLICA,"R$ 342,128.00","R$ 73,204.00","R$ 73,204.00",,,,,
"3.13 Promover a intensificação do uso agroeconômico de áreas já desflorestadas, por meio de recuperação de pastagens, fomento a produção de culturas permanentes e a adoção universal de práticas de uso conservacionista do solo",3.13.8 Estimular a disseminação da agricultura orgânica na região ,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,"4748 - ORGANIZAÇÃO E CAPACITAÇÃO DE
AGENTES ATUANTES EM PRODUÇÃO ORGÂNICA DE ALIMENTOS","R$ 600,000.00","R$ 551,097.00","R$ 551,097.00",,,,,
"3.13 Promover a intensificação do uso agroeconômico de áreas já desflorestadas, por meio de recuperação de pastagens, fomento a produção de culturas permanentes e a adoção universal de práticas de uso conservacionista do solo",3.13.8 Estimular a disseminação da agricultura orgânica na região ,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,4751 - FOMENTO AO USO DE PRODUTOS E PROCESSOS APROPRIADOS À PRODUÇÃO ORGÂNICA DE ALIMENTOS,"R$ 300,000.00","R$ 287,144.00","R$ 287,144.00","1426 - CONSERVAÇÃO, MANEJO E USO SUSTENTÁVEL DA AGROBIODIVERSIDADE",8606 - DESENVOLVIMENTO DA AGRICULTURA ORGÂNICA - PRÓ-ORGÂNICO,"R$ 1,300,000.00","R$ 1,111,528.00","R$ 1,111,528.00"
"3.13 Promover a intensificação do uso agroeconômico de áreas já desflorestadas, por meio de recuperação de pastagens, fomento a produção de culturas permanentes e a adoção universal de práticas de uso conservacionista do solo",3.13.9 Ampliar e Apoio ao Cooperativismo e Associativismo Rural da Amazônia,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Capacoop/Promocoop/Gapcoop,,,,,,,,,,
"3.13 Promover a intensificação do uso agroeconômico de áreas já desflorestadas, por meio de recuperação de pastagens, fomento a produção de culturas permanentes e a adoção universal de práticas de uso conservacionista do solo",3.13.10 Apoio à Consolidação de Projetos Demonstrativos de Uso Sustentável de Recursos Naturais,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Programa PPG7,0502 - AMAZÔNIA SUSTENTÁVEL,6061 - FOMENTO A PROJETOS DEMONSTRATIVOS DE DESENVOLVIMENTO SUSTENTÁVEL E CONSERVAÇÃO NA AMAZÔNIA (PROGRAMAPILOTO),"R$ 8,149,324.00","R$ 2,085,424.00","R$ 2,085,424.00","1426 - CONSERVAÇÃO, MANEJO E USO SUSTENTÁVEL DA AGROBIODIVERSIDADE ",6061 - FOMENTO A PROJETOS DEMONSTRATIVOS NA AMAZÔNIA E MATA ATLÂNTICA,"R$ 18,982,921.00","R$ 300,000.00","R$ 300,000.00"
"3.13 Promover a intensificação do uso agroeconômico de áreas já desflorestadas, por meio de recuperação de pastagens, fomento a produção de culturas permanentes e a adoção universal de práticas de uso conservacionista do solo",3.13.10 Apoio à Consolidação de Projetos Demonstrativos de Uso Sustentável de Recursos Naturais,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,002Q - APOIO A ESTRUTURAÇÃO DO SISTEMA DE GESTÃO DE RECURSOS NATURAIS NA AMAZÔNIA (PROGRAMA-PILOTO),"R$ 6,043,483.00","R$ 303,777.00","R$ 303,777.00",0511 - GESTÃO DA POLÍTICA DE MEIO AMBIENTE,8494 - APOIO A ESTRUTURAÇÃO DO SISTEMA DE GESTÃO DE RECURSOS NATURAIS NA AMAZÔNIA (PROGRAMA-PILOTO),"R$ 11,112,502.00",R$ 0.00,R$ 0.00
"3.13 Promover a intensificação do uso agroeconômico de áreas já desflorestadas, por meio de recuperação de pastagens, fomento a produção de culturas permanentes e a adoção universal de práticas de uso conservacionista do solo",3.13.10 Apoio à Consolidação de Projetos Demonstrativos de Uso Sustentável de Recursos Naturais,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,6065 - FOMENTO AO MANEJO DE RECURSOS NATURAIS DE VÁRZEAS NA AMAZÔNIA (PROGRAMA-PILOTO),"R$ 1,180,000.00",R$ 0.00,R$ 0.00,"1426 - CONSERVAÇÃO, MANEJO E USO SUSTENTÁVEL DA AGROBIODIVERSIDADE ",6065 - FOMENTO AO MANEJO DE RECURSOS NATURAIS DE VÁRZEAS NA AMAZÔNIA (PROGRAMA-PILOTO),"R$ 100,000.00","R$ 64,993.00","R$ 64,993.00"
"3.13 Promover a intensificação do uso agroeconômico de áreas já desflorestadas, por meio de recuperação de pastagens, fomento a produção de culturas permanentes e a adoção universal de práticas de uso conservacionista do solo",3.13.10 Apoio à Consolidação de Projetos Demonstrativos de Uso Sustentável de Recursos Naturais,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,6072 - DISSEMINAÇÃO DE BOAS PRÁTICAS SOBRE O USO SUSTENTÁVEL DOS RECURSOS NATURAIS NA AMAZÔNIA (PROGRAMA-PILOTO),"R$ 2,797,490.00","R$ 1,949,719.00","R$ 1,949,719.00",0511 - GESTÃO DA POLÍTICA DE MEIO AMBIENTE,6072 - DISSEMINAÇÃO DE BOAS PRÁTICAS SOBRE O USO SUSTENTÁVEL DOS RECURSOS NATURAIS NA AMAZÔNIA (PROGRAMA-PILOTO),"R$ 1,433,513.00","R$ 674,831.00","R$ 674,831.00"
"3.13 Promover a intensificação do uso agroeconômico de áreas já desflorestadas, por meio de recuperação de pastagens, fomento a produção de culturas permanentes e a adoção universal de práticas de uso conservacionista do solo",3.13.11 Projeto Alternativas ao Desmatamento e às Queimadas na Amazônia - PADEQ,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,Programa PPG7,,,,,,,,,,
3.14 Formular um plano executivo interministerial para coordenar ações integradas do uso agroeconômico das áreas já desflorestadas,,MAPA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,,,,,,,,,,,
3.15 Adotar como exigência básica para os produtores rurais contemplados nos Programas e Ações do MAPA o cumprimento da legislação ambiental ,,MAPA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,,,,,,,,,,,
"3.16 Instituir mecanismo de compensação financeira aos Estados, em função da área ocupada por areas protegidas, no âmbito do Fundo de Participação dos Estados (FPE Verde)",,MF,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,,,,,,,,,,,
3.17 Criação do Fundo Setorial de Ciência e Tecnologia Florestal,,"CC, MCT",#VALUE!,#VALUE!,1,5,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,
