OBJETIVO ESTRATÉGICO,AÇÃO ESTRATÉGICA,COORDENAÇÃO,MMA,MF,CC,MCT,MAPA,MDIC,MF,FONTE DE RECURSO,PROGRAMA NO PPA 2004-2007,AÇÃO NA LOA 2007,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2008,AUTORIZADO,EMPENHADO,LIQUIDADO
3.6 Apoio às comunidades extrativistas e indígenas ,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,1145 - COMUNIDADES TRADICIONAIS,0778 - APOIO ÀS ORGANIZAÇÕES DAS COMUNIDADES TRADICIONAIS,"R$ 14,127,963.00","R$ 4,327,963.00","R$ 4,327,963.00",1145 - COMUNIDADES TRADICIONAIS,0778 - APOIO AS ORGANIZACOES DAS COMUNIDADES TRADICIONAIS,"R$ 9,800,000.00",R$ 0.00,R$ 0.00
3.6 Apoio às comunidades extrativistas e indígenas ,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,2B50 - FOMENTO À DIFUSÃO DE TECNOLOGIAS SOCIAIS PARA COMUNIDADES TRADICIONAIS,"R$ 41,625.00","R$ 33,812.00","R$ 33,812.00",,2B50 - FOMENTO À DIFUSÃO DE TECNOLOGIAS SOCIAIS PARA COMUNIDADES TRADICIONAIS,"R$ 400,000.00","R$ 99,650.00","R$ 99,650.00"
3.6 Apoio às comunidades extrativistas e indígenas ,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,6040 - ASSISTÊNCIA TÉCNICA À PRODUÇÃO E À COMERCIALIZAÇÃO DE PRODUTOS EXTRATIVISTAS NA AMAZÔNIA,"R$ 703,042.00","R$ 703,042.00","R$ 703,042.00",,6040 - ASSISTÊNCIA À PRODUÇÃO E À COMERCIALIZAÇÃO DE PRODUTOS DA SOCIOBIODIVERSIDADE,"R$ 486,000.00","R$ 485,704.00","R$ 485,704.00"
3.6 Apoio às comunidades extrativistas e indígenas ,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,6060 - CAPACITAÇÃO DE COMUNIDADES TRADICIONAIS,"R$ 26,540,182.00","R$ 5,963,966.00","R$ 5,945,966.00",,6060 - CAPACITAÇÃO DE COMUNIDADES TRADICIONAIS,"R$ 40,917,930.00","R$ 14,419,517.00","R$ 14,419,517.00"
3.6 Apoio às comunidades extrativistas e indígenas ,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,6070 - FOMENTO A PROJETOS DE GESTÃO AMBIENTAL DAS RESERVAS EXTRATIVISTAS DA AMAZÔNIA (PROGRAMA-PILOTO),"R$ 4,642,415.00",R$ 0.00,R$ 0.00,,6070 - FOMENTO A PROJETOS DE GESTÃO AMBIENTAL DAS RESERVAS EXTRATIVISTAS DA AMAZÔNIA (PROGRAMA-PILOTO),"R$ 8,700,000.00","R$ 1,363,143.00","R$ 1,363,143.00"
3.6 Apoio às comunidades extrativistas e indígenas ,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,6087 - FOMENTO A PROJETOS DE DESENVOLVIMENTO SUSTENTÁVEL DE COMUNIDADES TRADICIONAIS,"R$ 10,340,234.00","R$ 481,361.00","R$ 481,361.00",,6087 - FOMENTO A PROJETOS DE DESENVOLVIMENTO SUSTENTÁVEL DE COMUNIDADES TRADICIONAIS,"R$ 7,060,000.00","R$ 3,184,357.00","R$ 3,184,357.00"
3.6 Apoio às comunidades extrativistas e indígenas ,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,6230 - GESTÃO AMBIENTAL EM TERRAS QUILOMBOLAS,"R$ 1,351,042.00","R$ 1,330,346.00","R$ 1,330,346.00",,6230 - GESTÃO AMBIENTAL EM TERRAS QUILOMBOLAS,"R$ 450,000.00","R$ 450,000.00","R$ 450,000.00"
3.6 Apoio às comunidades extrativistas e indígenas ,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,0150 - IDENTIDADE ETNICA E PATRIMONIO CULTURAL DOS POVOS INDIGENAS,2178 - ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL EM ÁREAS INDÍGENAS,"R$ 450,000.00","R$ 438,759.00","R$ 438,759.00",1427 - ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL NA AGRICULTURA FAMILIAR,2178 - ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL EM ÁREAS INDÍGENAS,"R$ 4,240,000.00","R$ 3,446,566.00","R$ 3,446,566.00"
3.6 Apoio às comunidades extrativistas e indígenas ,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,"8358 - ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL
PARA COMUNIDADES QUILOMBOLAS","R$ 4,080,000.00","R$ 3,497,267.00","R$ 3,497,267.00"
3.6 Apoio às comunidades extrativistas e indígenas ,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,0506 - NACIONAL DE FLORESTAS,4993 - CERTIFICAÇÃO FLORESTAL DE PRODUTOS EXTRATIVISTAS,"R$ 176,918.00","R$ 100,000.00","R$ 100,000.00",,,,,
