Tipo,Objetivo Estratégico,AÇÕES ESTRATÉGICAS,Sub-atividade,RESPONSÁVEL,FUNAI,ICMBio,INCRA,INMETRO,MAPA,MCT,MDA,MDIC,MF,MMA,OEMAs,SFB,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2009,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2010,AUTORIZADO,EMPENHADO,LIQUIDADO,PROGRAMA NO PPA 2008-2011,AÇÃO NA LOA 2011,AUTORIZADO,EMPENHADO,LIQUIDADO
Ação Estratégica,"3.2 - Implementar Ações para uma Política Agrícola Sustentável para a Amazônia Legal, em Conjunto Com As Secretarias Estaduais de Agricultura",3.2.2 Implementar o Plano Executivo de Desenvolvimento Sustentável do Agronegócio na Amazônia Legal - PDSA,3.2.2.1 Implementar o Programa Executivo de Desenvolvimento Sustentável do Agronegócio na Amazônia Legal/PDSA,MAPA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,"3.2 - Implementar Ações para uma Política Agrícola Sustentável para a Amazônia Legal, em Conjunto Com As Secretarias Estaduais de Agricultura",3.2.3 Implementar o Sistema Agropecuário de Produção Integrada (SAPI): das cadeias pecuárias.,3.2.3.1 Implementação de boas práticas pecuária,MAPA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0360 - GESTÃO DA POLÍTICA AGROPECUÁRIA,1K40 - IMPLANTAÇÃO DO PROCESSO DE GESTÃO ESTRATÉGICA ORIENTADO AO DESENVOLVIMENTO SUSTENTÁVEL DO AGRONEGÓCIO,"R$ 1,773,831.00","R$ 556,930.00","R$ 556,930.00",0360 - GESTÃO DA POLÍTICA AGROPECUÁRIA,1K40 - IMPLANTAÇÃO DO PROCESSO DE GESTÃO ESTRATÉGICA ORIENTADO AO DESENVOLVIMENTO SUSTENTÁVEL DO AGRONEGÓCIO,"R$ 1,742,000.00","R$ 723,765.00","R$ 723,765.00",0360 - GESTÃO DA POLÍTICA AGROPECUÁRIA,1K40 - IMPLANTAÇÃO DO PROCESSO DE GESTÃO ESTRATÉGICA ORIENTADO AO DESENVOLVIMENTO SUSTENTÁVEL DO AGRONEGÓCIO,"R$ 2,566,261.00","R$ 302,812.00","R$ 302,812.00"
Ação Estratégica,3.3 - Aprimoramento dos Instrumentos de Financiamento e Crédito para Promover a Conservação Ambiental e Recuperação da Floresta (Atividases Não-Orçamentárias),"3.3.1 Desenvolver propostas de incentivos fiscais para promover a melhor utilização das áreas já desmatadas e o uso sustentável da floresta, como por exemplo: (1)Redução de alíquotas de IPI para produtos certificados; (2) Redução de impostos de importação para máquinas e equipamentos florestais;",,"MMA, MF e MDA",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,11,#VALUE!,6,1,#VALUE!,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,3.3 - Aprimoramento dos Instrumentos de Financiamento e Crédito para Promover a Conservação Ambiental e Recuperação da Floresta (Atividases Não-Orçamentárias),3.3.2 Desenvolver propostas de incentivos fiscais para estimular a recuperação de Área de Preservação Permanente (APP) e de Reserva Legal (RL),,"MMA, MF e MDA",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,11,#VALUE!,6,1,#VALUE!,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,3.3 - Aprimoramento dos Instrumentos de Financiamento e Crédito para Promover a Conservação Ambiental e Recuperação da Floresta (Atividases Não-Orçamentárias),3.3.3 Implementar o PRORecuperação financiado com recursos do FNO e FCO,,"MMA, MF e MDA",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,11,#VALUE!,6,1,#VALUE!,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,3.3 - Aprimoramento dos Instrumentos de Financiamento e Crédito para Promover a Conservação Ambiental e Recuperação da Floresta (Atividases Não-Orçamentárias),3.3.4 Acompanhar e avalir a Resolução BACEN,,"MMA, MF e MDA",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,11,#VALUE!,6,1,#VALUE!,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,3.3 - Aprimoramento dos Instrumentos de Financiamento e Crédito para Promover a Conservação Ambiental e Recuperação da Floresta (Atividases Não-Orçamentárias),3.3.5 Acompanhamento da Efetividade do Protocolo Verde,,"MMA, MF e MDA",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,11,#VALUE!,6,1,#VALUE!,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,3.3 - Aprimoramento dos Instrumentos de Financiamento e Crédito para Promover a Conservação Ambiental e Recuperação da Floresta (Atividases Não-Orçamentárias),3.3.6 Envio ao Congresso Nacional do PL de institui Política Nacional de Pagamentos por Serviços Ambientais,,"MMA, MF e MDA",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,11,#VALUE!,6,1,#VALUE!,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,3.3 - Aprimoramento dos Instrumentos de Financiamento e Crédito para Promover a Conservação Ambiental e Recuperação da Floresta (Atividases Não-Orçamentárias),"3.3.7 Alterar a Finalidade da Linha Propflora, de modo a possibilitar a inclusão do plantio de florestas energéticas (carvão vegetal).",,"MMA, MF e MDA",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,11,#VALUE!,6,1,#VALUE!,#VALUE!,,,,,,,,,,,,,,,
Ação Estratégica,"3.4 - Licenciamento Ambiental dos Assentamentos de Reforma Agrária, Manejo dos Recursos Naturais e Assistência Técnica e Extenção Rural",3.4.1 Licenciamento Ambiental dos Assentamentos de Reforma Agrária,,OEMAs e INCRA,#VALUE!,#VALUE!,9,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1,#VALUE!,0135 - ASSENTAMENTOS PARA TRABALHADORES RURAIS,8374 - LICENCIAMENTO AMBIENTAL DE ASSENTAMENTOS DA REFORMA AGRÁRIA,"R$ 34,761,326.00","R$ 13,151,962.00","R$ 13,151,962.00",0135 - ASSENTAMENTOS PARA TRABALHADORES RURAIS,8374 - LICENCIAMENTO AMBIENTAL DE ASSENTAMENTOS DA REFORMA AGRÁRIA,"R$ 15,000,000.00","R$ 12,034,462.00","R$ 12,034,462.00",0135 - ASSENTAMENTOS PARA TRABALHADORES RURAIS,8374 - LICENCIAMENTO AMBIENTAL DE ASSENTAMENTOS DA REFORMA AGRÁRIA,"R$ 20,000,000.00","R$ 5,628,817.00","R$ 5,628,817.00"
